Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
BJ's Wholesale Club,Banana,$0.49,each (est.),$1.89 / lb,About 0.26 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d931d80b-3a93-48bb-976a-4c7bbe65c6cf.jpeg,"
BJ's Wholesale Club,"Wellsley Farms Purified Water, 40 pk./16.9 oz.",$5.09,,,40 x 16.9 fl oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_795b05a5-666c-48a9-8f91-31bdeab53a20.jpeg,"
BJ's Wholesale Club,Wellsley Farms Grade A Extra Large White Eggs,$12.69,,,2 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ada64f8d-515c-47a5-85d1-784e5bba1588.jpeg,"
BJ's Wholesale Club,"Dawn Platinum Dishwashing Liquid Dish Soap, Refreshing Rain Scent",$15.29,,,90 fl oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_680df1c6-bf5a-4761-bd11-3929a8fa3fd5.jpeg,"
BJ's Wholesale Club,"PopCorners Popped-Corn Snacks, Assorted",$16.49,,,28 x 1 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d3bad026-5ddd-4689-8152-d942917ca30c.jpeg,"
BJ's Wholesale Club,"Wellsley Farms Farms Whole Milk,",$4.09,,,1 gal,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_61c5b81c-2cf0-44e9-a9bc-52b414818873.jpeg,"
BJ's Wholesale Club,Berkley Jensen Ultra Strong Paper Towel,$25.39,,,12 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_69b60193-3d59-491e-87bb-d3e311ec1403.jpeg,"
BJ's Wholesale Club,Wellsley Farms Cinnamon French Toast Sticks,$12.69,,,56 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5265cba5-888a-43ec-b1bf-eedb720803a5.jpeg,"
BJ's Wholesale Club,Wellsley Farms All Natural Salted Butter,$17.79,,,1 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9ab2fa62-7ac0-4844-b861-768708f7c1d2.jpeg,"
BJ's Wholesale Club,King's Hawaiian Original Hawaiian Sweet Rolls,$8.39,,,2 x 16 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ba141fee-6a2d-462e-bf6e-f6ff1bc7c697.jpeg,"
BJ's Wholesale Club,"Wellsley Farms Chocolate Chunk Cookies, 37 oz.",$12.69,,,24 x 1.5 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b2735a19-ee00-4913-8706-c5d8b0e49ff7.jpeg,"
BJ's Wholesale Club,"Frito Lay Classic Mix, Variety Pack",$25.39,,,50 each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6712696c-c534-4db9-aa73-fe9a90e08ccd.jpeg,"
BJ's Wholesale Club,Berkley Jensen Red Plastic Cups 18 Ounce,$14.59,,,240,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_26208234-e9ce-4770-8e50-51a24ad6e022.jpeg,"
BJ's Wholesale Club,Wellsley Farms Large Butter Croissant 12 PK,$7.69,,,1 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_afdbde87-dc7e-4515-b1b4-88d1fd3a2f31.jpeg,"
BJ's Wholesale Club,Wellsley Farms Heavy Whipping Cream,$6.39,,,1 qt,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_47dc70f7-751a-45c9-a469-5120845c908b.jpeg,"
BJ's Wholesale Club,Berkley Jensen Half Size Steam Table Pans,$13.39,,,30 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fa07c175-77a0-42bf-a024-e2acf065e5cd.jpeg,"
BJ's Wholesale Club,Smucker's Uncrustables Uncrustables Peanut Butter & Grape Jelly Sandwich,$17.79,,,18 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9b2d36e0-0097-4800-8411-550ffe5d4ae4.jpeg,"
BJ's Wholesale Club,Coca-Cola Soda,$22.89,,,35 x 12 fl oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1c14b7ab-4aad-4ef9-ba1e-c6b8cbe1dbaf.jpeg,"
BJ's Wholesale Club,Wellsley Farms Granulated Pure Cane Sugar,$9.59,,,10 lb,['Gluten-Free'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_01b4bbe7-d2c7-4d0d-a27c-df3e3aed146a.jpeg,"
BJ's Wholesale Club,Wellsley Farms Chicken Nuggets,$15.89,,,80 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_97770783-75f2-486a-b8de-47aa5a451df2.jpeg,"
BJ's Wholesale Club,Berkley Jensen Strong And Absorbent Towels Big Rolls,$20.39,,,12 each,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e7f0bc47-0f73-40e3-b276-786d3474eace.jpeg,"
BJ's Wholesale Club,Wellsley Farms Green Peppers,$4.89,,,26 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f93b1620-85ee-48cd-a9ed-81c8a004c22a.jpeg,"
BJ's Wholesale Club,Cinnamon Toast Crunch Breakfast Cereal,$10.19,,,49.5 oz,['Whole Grain'],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7586c19e-52a8-4663-bd7b-407fc9ea0b86.jpeg,"
BJ's Wholesale Club,WELLSLEY FARMS MINI CUCUMBERS 8CT,$2.99,,,14 oz Package,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b491841c-7c6b-4ddd-8338-dc3a90ef905e.jpeg,"
BJ's Wholesale Club,"Clorox Disinfecting Wipes Value Pack, Bleach Free Cleaning Wipes",$24.19,,,5 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0b0e3956-9b53-428e-b93e-d9a1e7730d8a.jpeg,"
BJ's Wholesale Club,Wellsley Farms Half & Half,$2.59,,,32 fl oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_12a5c3ca-f9f5-41b0-aa1a-af849d433d35.jpeg,"
BJ's Wholesale Club,Farm To Table 96% Lean 4% Fat Sirloin Ground Beef,$14.49,,,32 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7e6e57a4-b804-481b-a824-dc45a6b6a595.jpeg,"
BJ's Wholesale Club,Heinz Tomato Ketchup,$13.99,,,3 x 44 fl oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_afddfd1f-de6c-4e8b-bb80-9713da374bcd.jpeg,"
BJ's Wholesale Club,Daisy Pure & Natural Sour Cream,$5.79,,,2 x 14 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_53206532-1887-4602-bb3f-51721e04b362.jpeg,"
BJ's Wholesale Club,"Simply Lemonade, All Natural Non-Gmo",$9.59,,,3 x 52 fl oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cd5be20c-1548-4eb7-b0d8-3ae3f445aa7d.jpeg,"
BJ's Wholesale Club,Wellsley Farms Hass Avocados,$6.99,,,5 each,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b9befb14-6143-40aa-93b1-903132cf9fa2.jpeg,"
BJ's Wholesale Club,"Wellsley Farms Lemons, 2 lbs.",$3.29,/lb,,/lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f8a6b0a9-5a08-48e7-8a90-2575b9aee604.jpeg,"
BJ's Wholesale Club,Sunbelle Blueberries Package,$7.69,,,1 lb container,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_794ea6ad-8345-44cd-b6c7-70afc0437b1e.jpeg,"
BJ's Wholesale Club,Mandarin Clementine,$1.69,/pkg (est.),$8.89 / lb,About 0.19 lb / package,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6ced185e-1bd1-4325-b26e-1b931265e796.jpeg,"
BJ's Wholesale Club,Driscoll's Raspberries,$7.69,,,12 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2b5c16d3-92fb-4ab3-a831-cd7676900e6e.jpg,"
BJ's Wholesale Club,Blackberries Package,$6.39,,,12 oz package,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_08f3b6f4-b81a-41d7-bf4c-d401739fd35a.jpeg,"
BJ's Wholesale Club,Wellsley Farms Limes,$4.99,/lb,,/lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fb2f1185-3abe-474d-84dc-9313743c04ca.jpeg,"
BJ's Wholesale Club,"Melon Up! Watermelon, Mini Seedless",$5.49,,,1 each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2843d47f-600b-464d-a725-8fceea99c625.jpeg,"
