Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Giant Eagle,Banana,$0.22,each (est.),$0.59 / lb,About 0.37 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e6e74c48-6368-4eb7-af76-8ab4e5dcf1b5.png,"
Giant Eagle,Giant Eagle 2% Reduced Fat Milk,$2.99,,,1 gal,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_576706a6-4950-44b7-8b1e-7430fe5611e6.png,"
Giant Eagle,Cucumber,$1.59,,,,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_53eecb9e-2fe4-41be-829c-683347049db8.png,"
Giant Eagle,"Thomas Farms Organic Grass Fed Ground Beef, 93% Lean 7% Fat",$8.99,,,16 oz,"['Organic', 'Grass-Fed']",,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d9bde381-59eb-405b-b809-07759b7ba8cb.jpg,"
Giant Eagle,Land O Lakes Salted Butter Sticks,$6.99,,,1 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_38fe7401-62a1-4509-abb2-73902a791877.png,"
Giant Eagle,"Maruchan Ramen Noodle Soup, Chicken Flavor, 12 Pack",$3.99,,,12 x 3 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_db42e49a-ba3f-4d5b-9a54-c201dd5c34d9.png,"
Giant Eagle,Giant Eagle Cold Rotisserie Chicken,$6.99,,,1 each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bef6ae62-12c4-47a5-a2d8-eb9b83d57bd1.png,"
Giant Eagle,New York Bakery The Original Texas Toast with Real Garlic,$3.99,,,8 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1ac16597-4b87-4fbd-ab0a-788114e0b2be.png,"
Giant Eagle,Giant Eagle Purified Water,$3.99,,,24 x 16.9 fl oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a2bc4717-0b60-4064-96b9-241964930d45.png,"
Giant Eagle,Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwich,$11.99,,,10 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e422dc54-cecd-482a-b193-94b3f935304c.jpg,"
