Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Grove Kosher Market,Banana,$0.31,each (est.),$0.79 / lb,About 0.39 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_27934e1b-09c8-496d-93fe-58dbaa9d75a1.jpg,"
Grove Kosher Market,Hass Avocado,$2.29,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d874d303-8fb1-43c6-b4c8-aabc3199ef04.jpg,"
Grove Kosher Market,Lemon,$1.49,,,,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_86387158-32f9-4d2c-9fbc-01852aa880f9.jpg,"
Grove Kosher Market,Red Mango,$3.49,,,,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ce00e5ab-ca96-43e2-aee7-5ac21da12597.jpg,"
Grove Kosher Market,Nectarine,$1.08,each (est.),$3.49 / lb,About 0.31 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8d519397-f7f8-4dd1-98a3-686984c8410f.jpg,"
Grove Kosher Market,Watermelon,$9.19,,,1 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5e87f965-707f-4911-a099-c327e3b642c8.jpg,"
Grove Kosher Market,White Seedless Grapes,$5.79,/lb,,/lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_02fe98da-7244-4d59-b76a-f381ebbf7c92.jpg,"
Grove Kosher Market,Green Seedless Grapes,$4.59,/lb,,/lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_acdc6d60-b340-4797-8dae-7b7ee4c0f29f.jpg,"
Grove Kosher Market,Limes,$1.99,,,,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_42bb0e57-f304-4375-984a-01f3ba6ddb8f.jpg,"
Grove Kosher Market,Honeycrisp Apple,$1.80,each (est.),$3.49 / lb,About 0.52 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_15b5c75b-39c0-466e-98bd-f70c04f07e80.jpg,"
Grove Kosher Market,California Giant Strawberries,$4.59,,,1 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c48236b4-41e6-4858-8108-08f39451e14d.png,"
Grove Kosher Market,Golden Delicious Apple,$0.44,each (est.),$1.19 / lb,About 0.37 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f4c9c56b-0be5-4364-97bc-45761eca7a77.jpg,"
Grove Kosher Market,Red Plum,$0.69,each (est.),$4.59 / lb,About 0.15 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_28400e5e-6b89-4367-bbca-faef2e10d944.jpg,"
Grove Kosher Market,Strawberries Package,$6.89,,,1 pint container,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7b4fddd3-d6c5-465c-9d18-29eb500a0960.jpg,"
Grove Kosher Market,Navel Orange,$1.19,,,,['In season'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_64602942-795a-4b19-a7b4-e958046fecd7.jpg,"
Grove Kosher Market,Peach,$1.71,each (est.),$3.49 / lb,About 0.49 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c2a71955-6f56-47ec-9dd7-7788474ce338.jpg,"
