Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
CVS,"Chester's Fries, Flamin' Hot Flavored",$2.99 ,,,5.25 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c271a7d0-0cdd-4949-9ecb-e10c13a369ba.png,"
CVS,Gushers Tropical Fruit Flavored Snacks,$5.49 ,,,4.8 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_edcaf4c7-8f92-4bb7-bb43-bc923f5b517e.png,"
CVS,"Kellogg's Rice Krispies Treats Crispy Marshmallow Squares, Kids Snacks, Snack Bars, Original",$4.69 ,,,8 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_75730f80-bddf-421a-8853-a274bd7e7392.jpg,"
CVS,KIND Thins Peanut Butter Dark Chocolate,$12.49 ,,,10 x 0.74 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_91b682fc-f63f-44b1-ad19-50f88fafb9a9.jpg,"
CVS,"Cheez-It Cheese Crackers, Baked Snack Crackers, Lunch Snacks, Original",$4.19 ,,,7 oz,['Light Sodium'],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_607ef658-a154-47a4-a350-b136ffc83bdf.jpg,"
CVS,"NERDS Candy, Gummy Clusters, Rainbow",$5.79 ,,,8 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2d0b3396-9209-49f4-965b-ed2b4bdc2c6e.jpg,"
CVS,SNICKERS Full Size Chocolate Candy Bar Bar,$1.79 ,,,1.86 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_17adaf23-0e1a-45ee-a2b4-8f9be6a64361.jpg,"
CVS,Oreo Gluten Free Chocolate Sandwich Cookies,$6.79 ,,,13.3 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0f1c2c39-e141-4264-9bc6-dbacdf4dc522.jpg,"
CVS,Extra Gum Spearmint Sugar Free Chewing Gum Single Pack Stick,$1.89 ,,,15 ct,['Zero Sugar'],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_382803e7-2ac8-49f4-ba64-1c5da00dd75b.jpg,"
CVS,"AirHeads Candy, Rainbow Berry",$2.69 ,,,4.5 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_83efcd67-7179-4850-9694-27755001ce57.jpg,"
