Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Costco,"Kirkland Signature Purified Drinking Water, 16.9 fl oz, 40-count",$4.99,,,40 x 16.9 fl oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_60b777ab-d034-466a-bdef-195784863b7c.jpg,"
Costco,"Bananas, 3 lbs",$1.89,,,3 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7feee29d-1949-402c-bf49-5d40a06453b1.jpg,"
Costco,Kirkland Signature Rotisserie Chicken,$5.99,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d359d9c2-ae20-48e6-8b0b-fc9a8b5dfc46.jpeg,"
Costco,"Kirkland Signature Bath Tissue, 2-Ply, 4.5"" x 4"", 380 Sheets, 30 ct",$23.99,,,30 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_71b46ba3-df69-4dc8-9c30-fbd04fba1704.jpg,"
Costco,"Kirkland Signature Cage Free Eggs, 24 ct",$5.99,,,24 ct,['Cage-Free'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0c3ad5fd-c259-4aae-ab5a-e10b2466ccaf.jpg,"
Costco,"Kirkland Signature Organic Ground Beef, 4 lbs",$24.99,,,4 lb,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ceff88b6-fa4a-4b74-97f7-294cd6dec7c1.jpeg,"
Costco,"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct",$23.99,,,160 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_367e096c-59df-4158-9096-beb07dc1f4f2.jpg,"
Costco,"Kirkland Signature Baby Wipes, Fragrance Free, 900 ct",$24.99,,,900 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bd39b289-c000-494a-9413-12fd802fb53c.jpg,"
Costco,"Kirkland Signature Butter Croissants,12 ct",$7.49,,,12 ct,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e6f81536-0a5e-4da0-a205-df1f61222aff.jpg,"
Costco,"Organic Baby Spinach, 1 lb",$5.39,,,1 oz,['Organic'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9f9d0c46-72c5-4783-98ba-b8c369fafaa3.jpg,"
Costco,"Kirkland Signature Flex-Tech Kitchen Bags, 200 X 13 gal",$20.99,,,200 x 13 gal,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cbda19df-c54e-4cad-ba90-f6f45bb7419d.jpeg,"
Costco,"Kirkland Signature Organic Maple Syrup, 1 L",$14.99,,,1 L,['Organic'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e4200bbc-7a4c-4c24-b885-9976c37ad5a3.jpeg,"
Costco,"Kirkland Signature Organic Broccoli Florets, 4 x 1 lb",$10.99,,,4 x 1 lb,['Organic'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_85c74944-4875-4f56-a5cf-597d3c88dfa5.jpeg,"
