Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Daves,Pureau Ultra - Purified Water,$4.39 ,,,24 x 16.9 fl oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2df54011-22d3-4363-a2c1-3282a4d50f49.jpg,"
Daves,Banana,$0.24 ,each (est.),$0.69 / lb,About 0.35 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d85da0df-7f4a-4a8c-b066-b7bbfd871f70.jpg,"
Daves,Chicken Tenders,$5.49 ,/lb,,/lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8c852464-f591-46fe-a060-5e0ceafa3a8e.jpg,"
Daves,Original price: $6.09,$5.49 ,,,11 oz,['Gluten-Free'],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5a56798c-6c28-4925-9105-d443bf7ef65d.jpg,"
Daves,Original price: $15.39,$12.09 ,,,18 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bb5822e0-366b-46fd-8b06-c3d8284dcc5b.png,"
Daves,Jumbo Packed Ground Beef,$4.99 ,/lb,,/lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_921a92ed-3419-41fd-9a80-79e4a3079fd2.jpg,"
Daves,Farm Fresh 2% Reduced Fat Milk,$3.29 ,,,1 gal,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b828f044-12b1-49c2-bffb-4baeb91cc2b7.jpg,"
Daves,Food Club Spring Water,$5.49 ,,,24 x 16.9 fl oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bf3fa714-3005-49f4-9532-249202646f42.JPG,"
Daves,Original price: $5.49,$4.39 ,,,12 x 1 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ad78fdda-d405-4935-b0ce-977942d8fc41.jpg,"
Daves,Original price: $2.99,$2.59 ,,,59 fl oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6f6de70d-54b3-4929-b9e8-2a8cde7eb10a.jpg,"
Daves,Green Bell Pepper,$1.67 ,each (est.),$2.79 / lb,About 0.6 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3ffcdeaa-1363-450e-9de1-37c02ee53ba6.jpg,"
Daves,Original price: $3.29,$2.99 ,,,16 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bd98ac77-1c9f-4bb3-bbd9-2ab94a69aec7.png,"
Daves,Original price: $5.49,$4.39 ,,,12 x 3 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2eb07735-7fc7-4937-b4fc-8d7130ac34e7.png,"
Daves,"""JIFFY"" Corn Muffin Mix",$0.89 ,,,8.5 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_89e55083-f649-43cf-a553-f020def185d6.png,"
Daves,Dave's Butter Top Wheat Bread,$2.69 ,,,20 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_01e43eee-6916-4e18-8a0b-57013490e3a0.jpg,"
Daves,Original price: $3.69,$3.29 ,,,8 oz,['Keto'],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c48ae80c-2ff5-4a74-9ba3-6b8a620413c6.png,"
Daves,Original price: $4.09,$3.29 ,,,14 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b057d4c7-f2ff-49fc-9512-a9b5584c9cc6.png,"
Daves,Food Club Chicken Broth,$2.49 ,,,32 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_71cc95d2-927d-420c-b37b-2b3e077b1f11.png,"
Daves,Jimmy Dean Pancakes and Sausage on a Stick Frozen Breakfast,$12.69 ,,,12 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7f8662a1-db98-4f50-b9f4-23ad75854ba1.jpg,"
