,Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
0,Aldi,Bananas,$0.18,each (est.),$0.49 / lb,About 0.37 lb each,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e86a7d99-50c9-4c6d-9422-cda91faf2618.jpg,"
1,Aldi,"Strawberries, Package",$3.25,,,1 lb,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_dae3c8b7-f2dc-45a1-95c8-d83a5c147b6e.jpg,"
2,Aldi,Blueberries Package,$3.55,,,1 pint container,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e1fb32d6-26b5-42bd-a77d-65644dae5e38.jpg,"
3,Aldi,"Mandarins, Bag",$3.09,,,3 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3a5265d4-7382-4e23-880e-9111f452243e.jpg,"
4,Aldi,"Mission Mini Avocados, Bag",$2.55,,,6 ct,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aeec6904-d31a-4827-a1a3-ad8640affef2.jpg,"
5,Aldi,Lemons,$4.19,,,2 lb bag,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6ca251e5-109b-43c2-9bdf-772a7abffdc3.jpg,"
6,Aldi,Raspberries Package,$2.75,,,6 oz Container,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_52b9f93d-be02-4f41-85c1-af415f3411ba.jpg,"
7,Aldi,Blackberries,$2.45,,,6 oz container,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_637ad2dd-fc56-4eb6-bbb1-fad36d8d22b5.jpg,"
8,Aldi,Red Grapes,$4.40,/pkg (est.),$2.19 / lb,About 2.01 lb / package,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_df21f925-4691-4f9d-97a6-040b0dd79be9.jpg,"
9,Aldi,"Limes, Bag",$2.65,,,1 lb,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f407f4f6-fc18-4b16-9bc4-48ffc1750cf9.jpg,"
