Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Aldi,Bananas,$0.16 ,each (est.),$0.49 / lb,About 0.33 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e86a7d99-50c9-4c6d-9422-cda91faf2618.jpg,"
Aldi,"Strawberries, Package",$2.19 ,,,1 lb,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_dae3c8b7-f2dc-45a1-95c8-d83a5c147b6e.jpg,"
Aldi,Blueberries Package,$3.95 ,,,1 pint container,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e1fb32d6-26b5-42bd-a77d-65644dae5e38.jpg,"
Aldi,"Mandarins, Bag",$3.95 ,,,3 lb,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3a5265d4-7382-4e23-880e-9111f452243e.jpg,"
Aldi,Raspberries Package,$2.99 ,,,6 oz Container,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_52b9f93d-be02-4f41-85c1-af415f3411ba.jpg,"
Aldi,Avocado,$0.79 ,,,1 each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_97eaa0b2-0e46-45b3-8ab7-539b0e02a514.jpg,"
Aldi,Red Grapes,$4.93 ,/pkg (est.),$2.19 / lb,About 2.25 lb / package,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_df21f925-4691-4f9d-97a6-040b0dd79be9.jpg,"
Aldi,"Mission Mini Avocados, Bag",$2.55 ,,,6 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aeec6904-d31a-4827-a1a3-ad8640affef2.jpg,"
Aldi,"Honeycrisp Apples, Bag",$3.09 ,,,2 lb,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c159aee7-063d-4fc6-9770-027a41a2ecc5.jpg,"
Aldi,Lemons,$4.19 ,,,2 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6ca251e5-109b-43c2-9bdf-772a7abffdc3.jpg,"
Aldi,Blackberries,$2.55 ,,,6 oz container,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_637ad2dd-fc56-4eb6-bbb1-fad36d8d22b5.jpg,"
Aldi,Pineapple,$1.99 ,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e06da388-57de-4e8e-a589-2fbc1c372f6d.jpg,"
Aldi,"Limes, Bag",$2.19 ,,,1 lb,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f407f4f6-fc18-4b16-9bc4-48ffc1750cf9.jpg,"
Aldi,Little Salad Bar Watermelon Spears,$3.85 ,,,16 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_16820eae-dbe5-4f20-9793-711654f373f5.jpg,"
Aldi,Little Salad Bar Pineapple Spears,$3.85 ,,,16 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_554b5f20-272f-4915-adcc-526737cef7f2.jpg,"
Aldi,Cantaloupe,$2.75 ,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f4a2554b-a8e6-4fd9-a9cc-40960a5a4dae.jpg,"
Aldi,Green Grapes,$4.93 ,/pkg (est.),$2.19 / lb,About 2.25 lb / package,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9fc08a5e-767f-4e46-a027-b1cf613dc323.jpg,"
Aldi,Organic Avocado Bag,$3.19 ,,,4 count bag,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_892d4d83-6407-4323-b1e2-ea294848796c.JPG,"
Aldi,Honeycrisp Apple,$5.07 ,each (est.),$1.69 / lb,About 3.0 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_eb1142eb-18dd-4abd-9462-b51330880a2c.jpg,"
Aldi,Mango,$2.09 ,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c02311a1-643f-4019-9305-468fc11adc78.jpg,"
Aldi,"Organic Farms Organic Blueberries, Package",$3.65 ,,,6 oz,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e4cb0c7a-92e1-4ea9-8a3b-c2216b013ed1.jpg,"
Aldi,"Organic Raspberries, Package",$3.85 ,,,6 oz,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b59a373a-b6e1-46f9-892a-74dbdf424453.jpg,"
Aldi,Driscoll's Rainbow Pack Berries,$4.95 ,,,7 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d9fc3a4e-b7d0-47dd-aaf9-d0adc79752cd.jpg,"
Aldi,Gala Apple Bag,$3.09 ,,,,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6dbf93f9-1a50-4936-a576-11d6532cf3e1.jpg,"
Aldi,Organic Strawberries Package,$5.29 ,,,1 lb container,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bb3ffd84-5952-4a7b-af83-1dc1c3d14238.jpg,"
Aldi,Simply Nature Organic Strawberries,$6.95 ,,,24 oz,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d1s8987jlndkbs.cloudfront.net/assets/missing-item-4bbe82b8555e4d1c12626fd482cb2409713e8e30835645ff3650ef66a725d03c.png,"
Aldi,Pink Lady (Cripps) Apple Bag,$4.29 ,,,3 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a8d53b92-0250-4c76-9fb6-089c3804a869.jpg,"
Aldi,Organic Bananas,$0.25 ,each (est.),$0.75 / lb,About 0.33 lb each,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fda8c08e-6870-4b50-9835-d9f800d60800.jpg,"
Aldi,Green Kiwi Package,$4.75 ,,,2 lb container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3bf3148a-8927-4bc4-a16a-38e9aa3312f5.jpg,"
Aldi,Organic Gala Apple Bag,$4.75 ,,,3 lb bag,"['Non-GMO', 'Organic']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6b57cc78-0ed8-447c-ae60-bc69c0eb783c.jpg,"
Aldi,Envy Apple,$1.42 ,each (est.),$1.89 / lb,About 0.75 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_17a6528f-3e5b-44e8-8ce1-297f3fa78085.jpg,"
Aldi,Granny Smith Apples,$3.85 ,,,per lb,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_49aa1438-4fcf-42b9-9079-f0d2f84b6d3b.jpg,"
Aldi,Mini Watermelon,$4.65 ,,,,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_dd761f4e-1b31-417f-bba3-11322e7a8de5.jpg,"
Aldi,Fuji Apple Bag,$3.65 ,,,3 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9fc2e655-41a4-4da0-9e5f-153fd118a854.jpg,"
Aldi,Bartlett Pear,$4.39 ,,,,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2991fbec-88eb-40f4-b259-a5a0cdfd016b.jpg,"
Aldi,Cosmic Crisp Premium Apples,$3.65 ,,,2 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d68767ea-1863-440c-87fc-872260a92bce.jpg,"
Aldi,Sunkist Navel Oranges,$4.95 ,,,3 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b3dca2b5-e275-4b58-8593-118849fd2535.png,"
Aldi,Red Delicious Apple Bag,$3.29 ,,,3 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bd2f2d2d-da18-4c32-b0d0-e0804065783d.jpg,"
Aldi,Ambrosia Apple,$2.75 ,,,3 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d1s8987jlndkbs.cloudfront.net/assets/missing-item-4bbe82b8555e4d1c12626fd482cb2409713e8e30835645ff3650ef66a725d03c.png,"
Aldi,Simply Nature Organic Blueberries,$6.95 ,,,10 oz,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f76a5d60-2388-45ff-8a68-93a563bf0a8e.jpg,"
Aldi,"Multi-Colored Peppers, Package",$2.75 ,,,3 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4544b625-fca5-40c2-8499-f28cdbcf16fd.jpg,"
Aldi,Cucumber,$0.65 ,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e05c465a-7ad0-455b-bff8-7587c3aa7de8.jpg,"
Aldi,Baby Peeled Carrots,$1.45 ,,,16 oz,['In season'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f88b9ef7-6844-41ab-8d9e-a6a26bcf973f.jpg,"
Aldi,"Mini Cucumbers, Package",$1.95 ,,,1 lb,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aa27c508-f58d-4269-8603-9ca729ef5749.jpg,"
Aldi,Yellow Onion Bag,$2.85 ,,,3 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_90ba0180-67c0-4ab0-99e1-acf368606254.jpg,"
Aldi,Little Salad Bar Shredded Lettuce,$2.09 ,,,8 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_827aae14-c752-43d8-8b22-62ccd5556826.jpg,"
Aldi,Broccoli Crowns,$1.89 ,each (est.),$1.89 / lb,About 1.0 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0ecedf2d-0cc2-44fc-b218-2ce5259ccae4.jpg,"
Aldi,Iceberg Lettuce,$1.85 ,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5fc53b45-8f3e-4929-b53c-4eb66437cb01.jpg,"
Aldi,Roma Tomatoes,$0.19 ,each (est.),$0.89 / lb,About 0.22 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_71fd3d29-42b0-4073-b8ec-c3aa47256462.jpg,"
Aldi,Celery Package,$1.35 ,,,1 lb container,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cfbbf4a6-d3ee-4c3a-abcf-98c787114763.jpg,"
Aldi,Green Onions (Scallions),$1.05 ,,,5.5 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4e369aef-6745-4912-ba4e-1b06c5f2f3b4.jpg,"
Aldi,English Seedless Cucumber,$1.05 ,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b38cb0e2-776f-47c2-bfbb-858b6422edce.jpg,"
Aldi,Little Salad Bar Spinach Flat Leaf,$1.65 ,,,8 oz bag,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7b89258b-303e-4814-9423-6eed38db2305.jpg,"
Aldi,Cilantro,$1.05 ,,,1 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_78e25ff9-acc9-454a-966e-94df06bfb5b8.jpg,"
Aldi,Green Bell Pepper,$2.19 ,,,3 count bag,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4bf258e5-0fe5-41f3-bffa-5e4f4085b3d0.jpg,"
Aldi,Red Onion Bag,$2.35 ,,,2 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5ee6c486-2962-48ba-9d4d-04e0b78b8772.jpg,"
