Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Fairfax Market,Daisy Sour Cream,$3.29 ,,,14 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b057d4c7-f2ff-49fc-9512-a9b5584c9cc6.png,"
Fairfax Market,"Minute Maid Fruit Punch, Made W/ Real Fruit Juice",$2.19 ,,,59 fl oz • 4 options,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6f6de70d-54b3-4929-b9e8-2a8cde7eb10a.jpg,"
Fairfax Market,Land O Lakes Salted Butter Sticks,$6.09 ,,,1 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_38fe7401-62a1-4509-abb2-73902a791877.png,"
Fairfax Market,Veuve Clicquot Yellow Label Champagne,$59.99 ,,,750 ml,['Light-Bodied'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6fe0d924-7b1c-4d81-999d-fb3a90ed4d2c.png,"
Fairfax Market,Whitehaven New Zealand Sauvignon Blanc White Wine,$18.99 ,,,750 ml,"['Dry', 'Medium-Bodied']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_323a6dc3-a87b-45ea-9f43-e85c21f3a0b0.png,"
Fairfax Market,Thomas’ Original English Muffins,$4.19 ,,,6 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b5729225-1409-4eb5-958d-1f410ec4a466.jpg,"
Fairfax Market,Penny Smart Large Eggs,$3.19 ,,,1 doz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d1s8987jlndkbs.cloudfront.net/assets/missing-item-4bbe82b8555e4d1c12626fd482cb2409713e8e30835645ff3650ef66a725d03c.png,"
Fairfax Market,Mission Carb Balance Soft Taco Flour Tortillas,$5.99 ,,,8 each,['Keto'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c02f3fc0-0b04-4784-babb-8fbfcbc862d3.jpg,"
Fairfax Market,Gillette 3X Clear Gel Cool Wave Antiperspirant and Deodorant,$12.99 ,,,2 x 3.8 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bf69ea2c-5c12-496c-9951-b4dd85b6f49d.png,"
Fairfax Market,Always Ultra Thin Long Super Pads with Flexi-Wings,$9.49 ,,,42 ct,"['Super Absorbency', 'Thin']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8276dd8f-f7a4-41d1-922d-e47058681247.png,"
