Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Fresh Thyme Market,Banana,$0.32 ,each (est.),$0.79 / lb,About 0.4 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_eea6ea6f-74a2-4eab-9cb8-1bc9e2efb961.png,"
Fresh Thyme Market,Organic Bananas,$0.36 ,each (est.),$0.99 / lb,About 0.37 lb each,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_716c0099-a1fb-4cbf-8af2-860a81f52b5e.png,"
Fresh Thyme Market,Hass Avocado,$1.09 ,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0251fd1d-37f3-47db-8e50-f3a2f4e0984e.png,"
Fresh Thyme Market,Original price: $4.29,$3.29 ,,,1 lb Container,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9f7d40d7-d914-4b87-804c-3c9e2ccada0f.png,"
Fresh Thyme Market,Blueberries Package,$4.29 ,,,1 pint container,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3cdb545f-d353-41c9-a3a6-4d5278865224.png,"
Fresh Thyme Market,Clementine Tangerines Bag,$4.29 ,,,2 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_048bdbf7-33c1-4ee2-9469-268168d5bc98.png,"
Fresh Thyme Market,Organic Strawberries,$5.39 ,,,1 ct,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_661e4efe-7442-483c-9d2a-1eacc3b8708b.png,"
Fresh Thyme Market,Original price: $5.39,$4.29 ,,,6 oz Container,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_701b2e31-5927-4522-9353-1ad8f12cdd2c.png,"
Fresh Thyme Market,Raspberries Package,$4.29 ,,,6 oz Container,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0484cff0-827d-4da2-bd47-7887aae666ba.png,"
Fresh Thyme Market,Organic Hass Avocado,$2.19 ,,,1 each,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_670150b6-7c97-4d17-8b68-e929fddcd167.png,"
Fresh Thyme Market,Original price: $5.39,$4.29 ,,,6 oz container,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ff6b3b65-c53d-4f9e-b0fa-15c0be5150ca.png,"
Fresh Thyme Market,Organic Lemon,$1.09 ,,,1 ct,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4923abac-01ce-4bf4-8de6-e2cb30478bcf.png,"
Fresh Thyme Market,Organic Honeycrisp Apple,$1.16 ,each (est.),$2.69 / lb,About 0.43 lb each,"['Non-GMO', 'Organic']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5af48967-f75b-46c3-a30b-5de611964054.png,"
Fresh Thyme Market,Original price: $5.39,$4.29 ,,,6 oz Package,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_46b5fd1a-a475-4fc9-932a-1db80fd4c5cf.png,"
Fresh Thyme Market,Original price: $4.29,$3.29 ,,,6 oz container,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ec401b48-ca48-4bf4-a969-241c6a68d921.png,"
Fresh Thyme Market,Original price: $10.68,$8.19 ,/pkg (est.),$3.29 / lb,About 2.49 lb / package,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_403632e9-ba28-4000-ae68-f66aa02e8e1e.png,"
Fresh Thyme Market,Large Hass Avocados,$2.69 ,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5311af99-b199-415d-9f54-13701df3c112.png,"
Fresh Thyme Market,Lemon,$1.09 ,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_32d76aa6-6676-470d-81ee-24a2e73550c5.png,"
Fresh Thyme Market,Lemon,$4.29 ,,,2 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e576a716-ebd9-4d84-91a1-1034ae7b6356.png,"
Fresh Thyme Market,Red Mango,$2.19 ,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3a7bffa9-952a-421e-8dad-0ce3b7089e9a.png,"
Fresh Thyme Market,Original price: $7.59,$5.39 ,,,2 lb container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4ab32a65-a8a1-443c-b6d5-3e5f26d49907.png,"
Fresh Thyme Market,Plum,$1.03 ,each (est.),$3.29 / lb,About 0.31 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1bd33d36-5dfe-4440-916f-7386150d75c7.png,"
Fresh Thyme Market,Organic Clementine,$7.59 ,,,2 lb bag,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4cc018c3-0666-40bc-a50c-3973f9c466d7.png,"
