Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Sam's Club,"Bananas, 3 lbs",$1.85,,,,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ca678f73-584f-4716-814d-4cd0602b4adb.jpeg,"
Sam's Club,"Kirkland Signature Purified Drinking Water, 16.9 fl oz, 40-count",$4.96,,,40 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_952fb0b5-0ca2-4433-b5ad-b86d71b209e7.jpeg,"
Sam's Club,Kirkland Signature Rotisserie Chicken,$6.21,,,1 each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bf53764f-5a52-435e-8491-49adc1c6bab4.jpeg,"
Sam's Club,"Liquid I.V. Sugar-Free Hydration Multiplier, Lemon Lime, 24-count",$36.06,,,,['Zero Sugar'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_250d6968-ae0d-4318-9795-ee91e75f958e.jpeg,"
Sam's Club,"Tide Pods with Ultra Oxi HE Laundry Detergent Pods, 104-count",$33.08,,,"★★★★★
★★★★★
(188)",[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f3077e05-1faf-42a4-9a9d-5171fb792d15.jpeg,"
Sam's Club,"Kirkland Signature Bath Tissue, 2-Ply, 380 Sheets, 30 Rolls",$24.25,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7ce9b522-ac6f-41e2-b417-09797c609a58.jpeg,"
Sam's Club,"Kirkland Signature Eggs, Large, 24-count",$5.96,,,,['Cage-Free'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2fee8b61-6f4d-47b3-bed7-c4728c5c8309.jpeg,"
Sam's Club,"Kirkland Signature Butter Croissants, 12-count",$7.45,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4ce482c1-5509-4122-9dcf-5c70f6b702e2.jpeg,"
Sam's Club,"Celsius Sparkling Energy Drink, Variety Pack, 12 fl oz, 18-count",$29.72,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_126c4673-914f-4bb4-94a0-f7d61be167bd.jpeg,"
Sam's Club,"Post, Honey Bunches of Oats with Almonds Cereal, 50 oz",$9.38,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_355680b1-23a6-4f80-9224-b4b88ce4cf24.jpeg,"
Sam's Club,"Kirkland Signature Whole Mlik, 1 gal",$3.97,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b6cf9738-5d6b-4896-ae18-5d75d6fd3f30.jpeg,"
Sam's Club,"Organic Baby Spinach, 1 lb",$5.34,,,1 each,['Organic'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b937ac32-0a90-4ab7-a03d-901d5382e5f3.jpeg,"
Sam's Club,"Kirkland Signature Organic Greek Yogurt, 48 oz",$7.45,,,,['Organic'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_999918cc-5d71-4b48-9bc9-f0fd5725bf1d.jpeg,"
Sam's Club,"Kodiak Cakes Power Cakes Flapjack and Waffle Mix, 72 oz",$15.91,,,,['Whole Grain'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_dcd4b1f5-54ce-404b-ab60-f9ff8f6236bb.jpg,"
Sam's Club,"Kellogg's Eggo Waffles, Homestyle, 72-count",$14.79,,,6 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b3f116a7-8c09-4997-985a-04f2191d09eb.jpeg,"
Sam's Club,"Kirkland Signature Mini Chocolate Chip Cookies, 60-count",$12.43,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9849d9f8-b25f-40fb-b554-ee820e95ffef.jpeg,"
Sam's Club,"Sabatasso's Pizza Singles, Variety Pack, 12-count",$15.54,,,12 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_dbff28f0-5277-40ad-8c34-d2c626159523.jpeg,"
