Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Sam's Club,Dole Bananas (3 lbs.),$1.76,,,3 x 3 lb,['In season'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4e849046-fb8b-4059-b5f7-5f8175119cb1.jpeg,"
Sam's Club,Banana Bunch,$5.47,,,1 bunch,['In season'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5a073ded-0548-48a3-b561-261937db4fe1.jpg,"
Sam's Club,"Large Avocados, 5 count",$6.36,,,5 ct,['In season'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1ba4c578-d350-4e19-b402-bd051bf71ebb.jpeg,"
Sam's Club,Tru Fru Hyper Chilled Strawberries in White & Milk Chocolate,$11.81,,,16 oz,"['In season', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c501585e-da8e-4b26-9e63-ba3f8adffa96.png,"
Sam's Club,Driscoll's Strawberries,$4.76,,,2 x 2 lb,['In season'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a2805601-6f73-406e-91e8-52b31049a0f6.jpeg,"
Sam's Club,Sun World Green Seedless Grapes,$8.78,,,3 x 3 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_44bb4a2f-48b3-453a-96b7-2b150d42af9b.jpeg,"
Sam's Club,Driscoll's Blueberries,$7.79,,,18 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_438312c6-4d25-4aa3-897f-7b5dbcabcca4.jpeg,"
Sam's Club,Sumo Citrus California Grown Mandarins - 8 CT,$9.70,,,8 count box,"['In season', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a14bae92-0b32-49d8-a2d2-7ec27b6ee427.jpeg,"
Sam's Club,Jumbo Golden Pineapple,$3.17,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_525b17b9-c3ec-40fe-abf9-a5a07418e3a1.jpeg,"
Sam's Club,Red Seedless Grapes,$8.21,,,3 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_18998df1-94e2-4fce-9cf4-5a33ccba8eed.jpeg,"
Sam's Club,Large Cantaloupe,$3.43,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c0169d7f-b206-4d2c-9662-00498d5f51fc.jpeg,"
Sam's Club,Sunkist Lemons,$4.59,,,3 lb,['In season'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2bf2d06e-79b9-46be-b811-5353d5060267.png,"
Sam's Club,Limes 3 Lb,$6.88,,,3 lb bag,['In season'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f5723192-cd46-4761-9340-795684e85dbd.jpeg,"
Sam's Club,Wonderful Halos Large Clementine Mandarins,$7.15,,,5 x 5 lb,['In season'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_944747c0-4dc7-4fcd-b830-28365199aea9.jpeg,"
Sam's Club,Del Monte Organic Bananas,$2.35,,,3 lb,"['In season', 'Organic']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ab76fbb8-1c2f-4a8b-b95f-a22f4004f16e.jpg,"
Sam's Club,Driscoll's Blackberries,$8.28,,,18 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2e2434ce-0b75-463a-8181-a7b4ec4550ec.jpg,"
Sam's Club,Blueberries Package,$10.13,,,1 lb container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ebc83889-ad46-4150-b2a4-29e9922d20ca.jpeg,"
Sam's Club,Organic Gala Apple Organic Gala Apples (5 Lbs.),$7.67,,,5 lb bag,"['Non-GMO', 'Organic']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d0b414b8-17d1-473f-86f0-dce232e86681.jpeg,"
Sam's Club,Envy Apples,$6.97,,,4 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_15549104-6146-43f3-9a40-accb198dd26d.jpeg,"
Sam's Club,Driscoll's Raspberries Package,$6.43,,,12 oz container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2072887e-77f6-467f-88b6-9fc2f3a525bf.jpeg,"
Sam's Club,Cosmic Crisp Honeycrisp Apple Bag,$6.37,,,4 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e4efc80b-5e03-4b6a-9ce4-b7200159b152.jpeg,"
Sam's Club,Plum,$6.51,,,1 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_bbbfa3f9-0a42-4aaa-8f99-0c79a71a4d8b.jpeg,"
Sam's Club,D'anjou Pears,$7.60,,,5 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_32933e6d-f163-40a2-83b4-882401435412.jpeg,"
Sam's Club,Gala Apple,$6.29,,,5 lb bag,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5a46c679-8edb-46de-b240-9db81b523017.jpeg,"
Sam's Club,Bagged D'Anjou Pears,$7.12,,,6 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a65292ff-b974-4f8e-8146-eb68b58e3bcc.jpeg,"
Sam's Club,Cara Cara Orange Bag,$10.42,,,8 lb,['In season'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1adf3558-d83e-4da0-a5ab-c1485e499af3.jpeg,"
Sam's Club,Member's Mark Mandarin Oranges,$12.76,,,24 x 4 oz,['In season'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2f32c121-f41c-44d3-a7f3-e75fa273c77b.jpeg,"
Sam's Club,Yellow Dragonfruit (Pitaya),$8.32,,,2 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7942ccf3-f521-499e-bbf6-6553061d1afb.jpeg,"
Sam's Club,Sunkist Valencia Oranges,$10.71,,,8 lb,['In season'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_212ce3c8-3e17-4a6a-bbcb-8d0ec59817fe.jpeg,"
Sam's Club,Ripe 'N Ready Kiwi Clamshell,$8.33,,,3 lb container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5a29fce9-635d-46bd-8433-85483866d830.jpeg,"
Sam's Club,Del Monte Del Monte Gold Extra Sweet Pineapple Spears,$9.39,,,2.5 lb container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c18c29fe-3bc8-496b-b9b9-8a06cc3e6bfa.jpg,"
Sam's Club,Honeycrisp Apple Bag,$6.36,,,1 lb bag,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_166b68d8-10b4-4db3-aecb-1d262367c718.jpeg,"
Sam's Club,Navel Oranges (Bag),$10.73,,,8 lb,['In season'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4d558e33-6e6a-4601-9778-abb51b1ead34.jpeg,"
Sam's Club,Sun World Black Seedless Grapes,$7.79,,,3 x 3 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2ec4f20c-b5fc-4fac-bc23-f50fd5c2a475.jpeg,"
Sam's Club,Fuji Apple Bag,$7.12,,,5 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2aa61a4d-4e7f-49e2-afff-41396c11a477.jpeg,"
Sam's Club,Texas Grapefruit,$8.75,,,,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8bec2fb8-d239-4842-a55e-9c0a73e42473.jpeg,"
Sam's Club,Yellow Nectarines,$8.19,,,lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1e5d1edb-18a4-4ad9-acb4-18df097b3671.jpeg,"
Sam's Club,Sugar Kiss Melon,$5.81,,,,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_402f4c3e-42ea-48cc-9c8d-bfd49b565547.jpeg,"
Sam's Club,Cara Cara Orange Bag,$10.59,,,5 lb bag,['In season'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2afce492-dfe8-4480-8713-9f3d9f8adbaf.jpeg,"
Sam's Club,GoVerden Perfectly Ripe Avocado Cups,$10.73,,,16 ct,['In season'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_560bab9b-68e4-457b-a935-0b6e2443017c.jpeg,"
Sam's Club,Vending So Tropical Fruit,$33.79,,,,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8c696fb9-c909-4733-a0ff-c04b52b31a53.jpeg,"
Sam's Club,Member's Mark Purified Water,$4.76,,,40 x 16.9 fl oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7adab826-0542-4d41-bb03-3f3c4c2e2568.jpeg,"
Sam's Club,Rotisserie Chicken,$5.95,,,,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a6f4e2ad-f24a-475c-9763-6d08ff841221.jpeg,"
Sam's Club,"Gain Liquid Laundry Detergent, Original Scent",$23.88,,,208 fl oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cc4e3ca1-5ca4-44c9-933f-d7623d6f1635.jpeg,"
Sam's Club,Just Bare Lightly Breaded Chicken Breast Original Bites,$16.11,,,48 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5e57b757-9c61-451a-9cbe-c9f6c4313916.jpeg,"
Sam's Club,Member's Mark Super Premium Paper Towels,$23.88,,,15 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_12528cf8-014e-499d-a734-fb467649482f.jpeg,"
Sam's Club,Member's Mark Ultra Premium Bathtissue Rolls,$27.46,,,45 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a3be6f5a-c828-464a-8e25-aad70084a45d.jpeg,"
