Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Sam's Club,Hostess Powdered DONETTES Bag Powdered Sugar Mini Donuts,$4.79,,,10.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7a7c340a-bc06-4115-9fbe-52a4a405c0f3.jpg,"
Sam's Club,"NERDS Candy, Gummy Clusters, Rainbow",$6.29,,,8 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2d0b3396-9209-49f4-965b-ed2b4bdc2c6e.jpg,"
Sam's Club,Chips Ahoy! Original Chocolate Chip Cookies,$5.79,,,13 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_631db859-1b2b-479a-add0-60cbf98954fa.jpg,"
Sam's Club,"Kinder Mini, Milk Chocolate and Hazelnut Cream, Individually Wrapped Chocolate Bars",$9.99,,,9.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_08f12a53-f9ff-4132-81b7-ae1eaaa31aea.jpg,"
Sam's Club,Hershey's Cookies 'n' Creme Candy,$1.99,,,1.55 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_48d76b6e-8564-4d16-8300-7a3cf8178668.jpg,"
Sam's Club,Premium Original Saltine Crackers,$6.29,,,16 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8d0d2f1f-41b7-4cec-8115-3f7a1e552626.jpg,"
Sam's Club,"AirHeads Candy, Rainbow Berry",$1.99,,,3 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_40fda620-73e2-451c-95b4-8334fc5a62cc.jpg,"
Sam's Club,KIND Caramel Almond & Sea Salt,$12.49,,,6 x 8 oz,['Gluten-Free'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_39ac3ce5-2953-4c82-8243-237a740043f7.jpg,"
Sam's Club,Hostess Donettes Frosted Mini Donuts,$4.79,,,10.75 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b6a84a11-d881-408f-ad68-91de05c1eca5.jpg,"
Sam's Club,Pepperidge Farm Goldfish Cheddar Cheese Crackers,$3.79,,,6.6 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_01a1b00d-cf73-44e2-a895-2ec4e1c9d350.jpg,"
Sam's Club,"Sun Chips Flavored Whole Grain Snacks, Harvest Cheddar",$4.79,,,7 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8234d27e-8354-4737-ab06-6850a702e45a.png,"
Sam's Club,Hostess TWINKIES Single Serve,$2.49,,,2.7 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8d22c3c6-558d-42f3-aa31-2d539d1f38dd.jpg,"
Sam's Club,Sour Patch Kids Original Soft & Chewy Candy,$7.79,,,29 oz,['Fat-Free'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_84d594d2-1cb1-4514-b44a-5db8af576e8d.jpg,"
Sam's Club,"Ruffles Potato Chips, Cheddar & Sour Cream Flavored",$2.69,,,2.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fc238e77-7fab-4248-a174-b0b4b9bb7495.png,"
Sam's Club,TWIX Full Size Caramel Chocolate Cookie Candy Bar,$1.99,,,1.79 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e355593a-3039-4529-9a5b-d9ceb83342a0.jpg,"
Sam's Club,Hostess Chocolate Cupcakes Single Serve,$2.49,,,3.17 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aa025d0b-44f0-49e8-984d-d9fe43a6c817.jpg,"
Sam's Club,"Kellogg's Rice Krispies Treats Crispy Marshmallow Squares, Kids Snacks, Snack Bars, Original",$4.79,,,8 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9c2d37ad-5366-4cdb-9cde-cebf05823d11.jpg,"
Sam's Club,Nabisco Premium Original Topped with Sea Salt Saltine Crackers,$3.49,,,4 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_006174f7-3593-4d0c-9f7f-021711f256e8.jpg,"
Sam's Club,SNICKERS Milk Chocolate College Basketball Candy Bar,$1.99,,,1.86 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_383d87ef-1004-45d7-97e4-ae62045d861d.jpg,"
Sam's Club,Popcornopolis Nearly Naked Perfectly Salted Popcorn Bag,$3.99,,,4.5 oz,"['Gluten-Free', 'Vegan']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_56c66d71-c6e0-4927-9eaf-45e6a12c6753.jpg,"
Sam's Club,"Pringles Potato Crisps Chips, Lunch Snacks, On-the-Go Snacks, Sour Cream and Onion",$3.49,,,5.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d090280c-f73d-4e5e-8261-9dd31ef3b03f.jpg,"
Sam's Club,"Sun Chips Flavored Whole Grain Snacks, Garden Salsa",$4.79,,,7 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_82af7078-e59f-46bd-9279-446717d3c053.png,"
Sam's Club,Angie's BOOMCHICKAPOP Sweet & Salty Kettle Corn Popcorn,$4.49,,,7 oz,"['Gluten-Free', 'Low Fat']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a68e2cff-ade6-4467-9851-ecbf8d7fb941.jpg,"
Sam's Club,Swedish Fish Mini Soft & Chewy Candy,$7.79,,,29 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_adbb6bef-df2e-4a3a-8003-cb03a5c5c64c.jpg,"
Sam's Club,"Doritos Flavored Tortilla Chips, Spicy Sweet Chili",$6.29,,,9.25 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0c8c6fca-ea87-41ca-8a04-5e58e4f01a6e.png,"
Sam's Club,Nature Valley Almond Sweet and Salty Nut Granola Bars,$5.29,,,7.2 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f7baa9e8-77e6-444f-b3ad-d82882d288a7.png,"
Sam's Club,"AirHeads Candy, Original Fruit, Bites",$3.99,,,9 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d051e305-4ed8-4989-9f73-f83872015b8f.jpg,"
Sam's Club,"Kinder Mini, Milk Chocolate and Hazelnut Cream, Individually Wrapped Chocolate Bars",$6.49,,,5.7 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_711af040-94a4-4201-a2ae-9a94fc2ebe77.jpg,"
Sam's Club,Nabisco Honey Graham Crackers,$6.49,,,14.4 oz,['Whole Grain'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_018e27f9-e0b7-4deb-8398-fcbc4e7b8294.jpg,"
Sam's Club,Slim Jim Mild Smoked Snack Sticks,$4.79,,,3.92 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8aa19e99-c036-468f-b90d-c9c00fd27aa1.jpg,"
Sam's Club,"Lindt Gold Bunny Easter GOLD BUNNY, Milk Chocolate Candy",$5.99,,,3.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_09d7e737-ba80-4523-8a87-91751cc89501.jpg,"
Sam's Club,Lotus Biscoff Cookies,$4.49,,,8.78 oz,['Vegan'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4950239c-3271-4907-9e2c-7c2ccf3f1893.jpg,"
Sam's Club,Oreo Chocolate Sandwich Cookies,$6.29,,,14.3 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6cc7b4a3-66f2-4da5-a368-384808902747.jpg,"
Sam's Club,"NERDS Candy, Ropes, Rainbow",$1.99,,,0.92 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1eaff35c-10c5-4fba-989d-a6d2bf02d28f.jpg,"
Sam's Club,Ritz Fresh Stacks Original Crackers,$5.49,,,8 x 1.48 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2f87bf55-29b3-44fc-a625-f37c626ab5b2.jpg,"
Sam's Club,Oreo Cakesters Soft Snack Cakes,$6.29,,,5 x 10 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5df8cfed-be43-4c8d-ac69-5f26bedb55d3.jpg,"
Sam's Club,Nature Valley Oats 'n Honey Crunchy Granola Bars,$5.29,,,8.94 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_664a9033-d079-45f5-9fcc-451d8de51aa9.png,"
Sam's Club,"Sour Punch Assorted Fruit Flavored Candy, Resealable Bag",$4.49,,,9 oz,['Low Fat'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_750d5299-099a-458d-b5aa-cddc849733ae.jpg,"
Sam's Club,Doritos Dinamita Tortilla Chips Chile Limon,$6.29,,,10.75 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6ba02483-feb7-461b-87ab-6696a095ada1.png,"
Sam's Club,"Cheez-It Cheese Crackers, Baked Snack Crackers, White Cheddar",$4.29,,,7 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8d73c7e9-4b7e-42b9-838a-fee9a5fdfe4e.jpg,"
Sam's Club,Airheads Berry Chewy Candy,$3.99,,,9 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c4c8a8fe-f160-48ed-89f0-6979a064b7ea.jpg,"
Sam's Club,Nature Valley Peanut Sweet and Salty Nut Chewy Granola Bars,$5.29,,,7.2 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2ff6581f-fbb3-4f8f-81f8-e5e1fc639594.png,"
Sam's Club,"Ritz Original Flavor Crackers, 1 Box",$5.49,,,14 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_764511ee-7451-415b-9d9e-42bd9f0f765b.jpg,"
Sam's Club,"Cheez-It Cheese Cracker Chips, Thin Crisps, Lunch Snacks, Double Cheese",$6.49,,,7.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_19d4f536-c9df-45b7-a86b-6c6c311aeca6.jpg,"
Sam's Club,"Cheez-It Cheese Crackers, Baked Snack Crackers, Extra Toasty",$4.29,,,12 x 7 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_311e8c6d-7691-461b-a6e8-05de5c9e776f.jpg,"
Sam's Club,"AirHeads Candy, Assorted Flavors",$1.99,,,6 x 0.55 oz,['Gluten-Free'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e29a776d-a444-4ff9-9493-0dacdd80ab96.jpg,"
Sam's Club,"AirHeads Candy, Assorted Flavors, Mini Bars",$4.79,,,12 oz,['Gluten-Free'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7c8b4764-91dc-41c2-836f-5c5208494f6a.jpg,"
Sam's Club,Toffifay Candy,$3.99,,,15 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_65854cf1-4be3-4d8b-9e49-edeae1117b78.jpg,"
Sam's Club,"Cheez-It Cheese Crackers, Baked Snack Crackers, Hot and Spicy",$4.29,,,7 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_24801d0f-465a-414d-a917-5977cce12878.jpg,"
Sam's Club,Tony's Chocolonely Milk Caramel Sea Salt,$5.79,,,6.35 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_add1f66c-e154-4890-98c9-a618b6066179.png,"
