Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
CVS®,"Chester's Corn Snacks, Flamin' Hot Flavored, Fries",$2.69,,,5.25 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_123f540a-a44b-44d8-aa93-74279fe579a0.png,"
CVS®,"HARIBO Gummi Candy, Share Size",$3.29,,,8 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8a862037-08df-4945-bae5-1cfad88ebec0.jpg,"
CVS®,Original price: $5.49,$1.99,,,4.8 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_edcaf4c7-8f92-4bb7-bb43-bc923f5b517e.png,"
CVS®,"Kinder Mini, Milk Chocolate and Hazelnut Cream, Individually Wrapped Chocolate Bars",$11.99,,,9.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_70b1e362-f578-4d0a-a6b5-910889b77180.jpg,"
CVS®,Flipz Milk Chocolate Covered Pretzels,$4.99,,,7.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6f34a7cc-6966-4643-9cd0-e12be4cfb76c.jpg,"
CVS®,"Cheez-It Cheese Crackers, Baked Snack Crackers, Lunch Snacks, Original",$4.19,,,7 oz,['Light Sodium'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_604110b9-2a88-493d-8334-92aafd481704.jpg,"
CVS®,"NERDS Candy, Gummy Clusters, Rainbow",$1.99,,,3 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9e2972c6-d44c-479d-9f29-8d998a1b77d4.jpg,"
CVS®,"Emmy's Organics Coconut Cookies, Dark Cacao",$5.99,,,6 oz,"['Organic', 'Vegan']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9fbb2bc4-697e-4194-a2b4-4b830e28afa9.jpg,"
CVS®,"Welch's Fruit Snacks, Mixed Fruit",$4.99,,,10 x 0.9 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d3837959-96ba-4dea-8187-da97a7bd3838.png,"
CVS®,Pepperidge Farm Goldfish Cheddar Cheese Crackers,$3.69,,,6.6 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_01a1b00d-cf73-44e2-a895-2ec4e1c9d350.jpg,"
CVS®,"General Mills Multiple Brands Fruit Roll-Ups, Fruit by the Foot, Gushers, Snacks Variety Pack",$9.99,,,10.2 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4853b562-e5e0-45e8-b572-88911167acde.png,"
