Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
CVS®,"George's Chicken Wing, Sections",$18.69,,,64 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8346baa3-026c-4903-9d78-ff6a3cb85928.png,"
CVS®,"Mr Chikin Chicken Wing Sections, Uncooked, Ice Glazed",$12.09,,,64 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f9b100e3-99b6-4672-a855-37068c75295f.png,"
CVS®,Gorton's Classic Grilled Salmon Fillets,$8.49,,,6.3 oz,['Gluten-Free'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ce75a6d2-6696-4b11-b66d-e045a9fb379a.jpg,"
CVS®,"Jimmy Dean Pork Sausage, Premium, Regular",$6.59,,,16 oz,['Gluten-Free'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_dc4767b3-0510-45d0-bf5d-782ab775150b.png,"
CVS®,"Tyson Popcorn Chicken, Frozen",$10.99,,,24 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b92ba067-730e-4437-afb8-adf62948eb39.jpg,"
CVS®,"Tyson Fully Cooked Fun Nuggets with Whole Grain Breading, Frozen",$8.79,,,29 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b09a1198-2f3e-4a49-89a1-6b2b4e2469d5.jpg,"
CVS®,Dutch Farms Chicken Breast Nuggets,$12.09,,,48 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_78f56caf-541b-44ef-8c8b-dd9d020e8b45.jpg,"
CVS®,"P.F. Chang's Honey Chicken Skillet Meal, Frozen Meal",$14.29,,,22 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_00af99e5-43a9-4e24-a3c8-33e7d6cd4a37.jpg,"
CVS®,Original price: $7.19,$6.59,,,26 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d86b31db-0f0b-456c-a951-dab71da5fdc2.png,"
CVS®,Frozen Thin Slice Boneless Chicken Breast,$5.49,/lb,,$0.34/oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d1s8987jlndkbs.cloudfront.net/assets/missing-item-4bbe82b8555e4d1c12626fd482cb2409713e8e30835645ff3650ef66a725d03c.png,"
CVS®,Tyson Honey BBQ Boneless Chicken Bites,$10.99,,,25.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3b7ec60a-cb37-49ed-9bb3-02051874c0e4.jpg,"
CVS®,SeaPak Jumbo Coconut Shrimp with Orange Marmalade Sauce,$15.39,,,18 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f6bcaf7e-f10f-4f69-b551-1a51e328ff21.jpg,"
CVS®,Original price: $8.79,$6.59,,,10.8 oz,['Gluten-Free'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5fe6dfde-22bb-473c-b227-55047ca95fb8.png,"
CVS®,Tyson Fully Cooked Crispy Chicken Strips,$10.99,,,25 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2622145a-182e-4c26-886f-4630464bb778.jpg,"
CVS®,On‑Cor Barbecue Sauce & Boneless Rib Shaped Patties,$5.49,,,26 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_1c21a2a7-520e-4f0d-8b59-f269b190553d.png,"
CVS®,"Pier 33 Gourmet Mussels, in Butter Garlic Sauce",$6.09,,,1 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_71a5dc98-208d-4484-84b8-58f31859a32f.png,"
CVS®,White Castle Spicy Chicken Rings,$13.19,,,20 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_89da2fe3-886c-400a-a8b9-74510322837b.jpg,"
CVS®,Foster Farms Crispy Chicken Breast Strips,$10.99,,,24 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2ce9cc1f-3332-4af0-b29e-bbfe63db6c03.png,"
CVS®,Gorton's Breaded Minced Fish Sticks,$10.99,,,24.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7ae05813-9aad-4f17-a83f-4df318964efc.jpg,"
CVS®,Gorton's Lemon & Cracked Peppercorn Breaded Fish Fillets,$8.49,,,11 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_de69effd-2c19-492b-888d-9094abf61a51.jpg,"
CVS®,Original price: $7.69,$6.39,,,24 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d1s8987jlndkbs.cloudfront.net/assets/missing-item-4bbe82b8555e4d1c12626fd482cb2409713e8e30835645ff3650ef66a725d03c.png,"
CVS®,"Tyson Fully Cooked Chicken Nuggets, Frozen",$16.49,,,70.4 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_6674cb12-e469-4f8c-9248-95871da859ee.jpg,"
CVS®,Tyson Honey Battered Breast Tenders,$8.79,,,25.5 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d5f79034-7949-459d-948d-ea8c5154ee8f.jpg,"
CVS®,"Tyson Fully Cooked Buffalo Style Chicken Strips, Frozen",$10.99,,,25 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0a09c4e8-4743-433e-8dfc-f7a28a374d64.jpg,"
CVS®,"Philly Gourmet Patties, Thick & Beefy",$13.19,,,6 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ebadcdd5-04e8-42fd-8511-4b78e6f43f02.png,"
CVS®,Original price: $9.89,$7.69,,,21.7 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_31829f1c-877d-4df0-a9cb-cfa93993c868.png,"
CVS®,Gorton's Southern Style Butterfly Shrimp,$10.99,,,9.2 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e75723ae-0202-4f1e-9ae5-140d5565e3af.jpg,"
CVS®,Original price: $14.29,$13.19,,,1.25 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d1s8987jlndkbs.cloudfront.net/assets/missing-item-4bbe82b8555e4d1c12626fd482cb2409713e8e30835645ff3650ef66a725d03c.png,"
CVS®,Original price: $7.19,$6.59,,,27 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_01b25821-d192-4414-9695-54fde2aabc44.png,"
CVS®,Original price: $9.89,$7.69,,,21 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fd43971b-68c3-4836-8268-5c48b1b444b5.jpg,"
