Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
CVS®,Banana,$0.25,each (est.),$0.66 / lb,About 0.38 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0b26bdb1-2ad3-497d-870b-78f32c258b24.png,"
CVS®,Organic Bananas,$0.34,each (est.),$0.89 / lb,About 0.38 lb each,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_69731a3b-2a27-423f-b985-3eb50313dfd8.png,"
CVS®,Clementine Bag,$5.59,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cea6a943-191e-4e02-af3c-bae9f3cade39.png,"
CVS®,Calavo Hass Avocados Bag,$5.59,,,4 count bag,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_68815b79-4ecd-4980-b2ce-6121cdbfb1e6.png,"
CVS®,Avocado,$1.39,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f34caec5-cad3-4661-948d-f7358d71d276.png,"
CVS®,Giant Eagle Lemon,$0.99,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4189d128-4f1f-4d5e-ae11-a85610bf49b4.png,"
CVS®,Giant Eagle Green Seedless Grapes,$8.34,/pkg (est.),$3.99 / lb,About 2.09 lb / package,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_52a20ad4-4690-466b-a891-cf165d55c6e8.png,"
CVS®,Red Seedless Grapes Package,$9.78,/pkg (est.),$3.99 / lb,About 2.45 lb / package,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c70e1de1-b8a7-4e1e-b9a5-bc9acb2b68c5.png,"
CVS®,Limes,$0.74,,,,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_dc9eedba-f294-4ae1-9c62-600a1940eae4.png,"
CVS®,Giant Eagle Watermelon Spears,$8.99,,,24 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_34836f67-9837-4808-a4cc-6bec93102231.png,"
CVS®,Giant Eagle Baby Seedless Watermelon,$5.59,,,1 each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b3ad8303-31a0-43e9-8ef9-e771d7d66764.png,"
CVS®,Honeycrisp Apple,$1.69,each (est.),$3.99 / lb,About 0.42 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_88a397f7-5b33-4d5f-9ea7-da4997eb6586.png,"
