Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
CVS®,Original price: $3.79,$2.29,,,16 oz container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7053758e-65cf-4a22-ab52-31940c0e1fef.jpg,"
CVS®,Dry Blueberries,$5.69,,,1 pt,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_53205557-58fb-4c53-ba70-1419d9ddc0e5.jpg,"
CVS®,Avocado,$0.99,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5dd0b2b1-1ff8-4494-a182-8566f24203c2.jpg,"
CVS®,Original price: $3.49,$2.89,,,8 count box,['Non-GMO'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9adce8f1-92bc-4d56-a61d-87dceb656cab.jpg,"
CVS®,Sun Pacific Extra Large Lemons,$0.79,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_01376719-a4b3-41df-a4b7-4ba5f64d5638.jpg,"
CVS®,Nature Made Raspberries,$3.99,,,8 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_60108126-2c6f-41c0-a30b-0469e55d13b7.jpg,"
CVS®,"Grapes, Table, Green Seedless",$7.00,/pkg (est.),$2.99 / lb,About 2.34 lb / package,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3f200a5c-1ff8-4326-b1b3-569740fa8f41.jpg,"
CVS®,Sumo Citrus Mandarins,$6.99,,,32 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4da2f39b-a76e-4c3f-a1ef-31cc15ce8091.jpg,"
CVS®,Red Grapes,$6.70,/pkg (est.),$2.99 / lb,About 2.24 lb / package,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7d7cdc48-27aa-4eaf-b295-c0195cf74763.jpg,"
CVS®,Original price: $8.99,$8.59,,,1,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d61040db-f04d-48d2-be9f-c3228780c644.jpg,"
