Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
CVS®,Blueberries Package,$4.69,,,16 oz container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_48957e24-8d5b-4e41-bf18-2920c641fecd.jpg,"
CVS®,Good & Gather Lemons,$4.99,,,32 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9a5deed8-da1b-4ade-b35b-bda0d31f0d84.jpg,"
CVS®,Lemon,$0.89,,,,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_86387158-32f9-4d2c-9fbc-01852aa880f9.jpg,"
CVS®,Opal Apples,$3.89,,,2 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f7d0e5e4-3d43-4dcb-be79-46f65c0ecefe.jpg,"
CVS®,Honeycrisp Apple Bag,$5.79,,,3 lb bag,['Non-GMO'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5045a961-5b02-40a2-b8d6-99a239f64cec.jpg,"
CVS®,Good & Gather Organic Hass Avocados,$5.59,,,4 ct,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4a11ee2f-556c-44e7-b28f-f49bca2c2bfb.jpeg,"
CVS®,Good & Gather Im Limes,$3.79,,,16 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_29cc00ee-2253-4e7b-83e6-92642cc6cf64.jpeg,"
CVS®,Pineapple,$2.59,,,1 ct,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0b432212-1e7a-4525-a632-d67f6df60485.jpg,"
CVS®,Sumo Mandarin,$6.99,,,2 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f2272bd2-c8b3-42b0-91c4-a399f602a647.jpg,"
CVS®,Mix Grapes,$5.99,,,2 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b0a64fa4-1fb3-4d4d-82db-ccfa123cb7f1.jpeg,"
