Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
BJsWholesaleClub,Banana,$1.89,,,3 lb bunch,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d931d80b-3a93-48bb-976a-4c7bbe65c6cf.jpeg,"
BJsWholesaleClub,"Wellsley Farms Purified Water, 40 pk./16.9 oz.",$5.09,,,40 x 16.9 fl oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_795b05a5-666c-48a9-8f91-31bdeab53a20.jpeg,"
BJsWholesaleClub,Wellsley Farms Grade A Extra Large White Eggs,$11.49,,,2 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7fd876e4-131e-451c-9cab-f847e8072acf.jpeg,"
BJsWholesaleClub,"Freshpet Dog Food, Slice & Serve Roll, Tender Chicken Recipe",$20.39,,,6 lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5a556fb9-471b-45d3-b7a0-613eeed8300d.jpeg,"
BJsWholesaleClub,"Downy Light Laundry Scent Booster Beads for Washer, Ocean Mist, No Heavy Perfumes",$22.89,,,34 oz,['Ocean'],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a9293c23-3e67-4f37-ba28-ae76799c1582.jpeg,"
BJsWholesaleClub,"Wellsley Farms Farms Whole Milk,",$4.09,,,1 gal,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_61c5b81c-2cf0-44e9-a9bc-52b414818873.jpeg,"
BJsWholesaleClub,Berkley Jensen Strong And Absorbent Towels Big Rolls,$20.39,,,12 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e7f0bc47-0f73-40e3-b276-786d3474eace.jpeg,"
BJsWholesaleClub,Wellsley Farms Cinnamon French Toast Sticks,$12.69,,,56 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5265cba5-888a-43ec-b1bf-eedb720803a5.jpeg,"
BJsWholesaleClub,"Nabisco Cookies, 60 Packs",$20.39,,,60 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_980ce51e-037b-4bd6-979d-e2060efae61f.jpeg,"
BJsWholesaleClub,"Crest 3D White Ultra Teeth Whitening Toothpaste, Vivid Mint",$20.39,,,26 oz,['Whitening'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_effb4dc2-ed13-49ef-9c46-7bc1775e1556.jpeg,"
