Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
DavesMarkets,Banana,$0.32,each (est.),$0.69 / lb,About 0.47 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d85da0df-7f4a-4a8c-b066-b7bbfd871f70.jpg,"
DavesMarkets,Red Seedless Grapes,$4.39,/lb,,/lb,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4f1e62a9-3d61-4f5f-8f71-f51d61cf8cec.jpg,"
DavesMarkets,Lemon,$0.89,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_86387158-32f9-4d2c-9fbc-01852aa880f9.jpg,"
DavesMarkets,Hass Avocado,$1.69,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_09ff3801-efef-43e6-a14b-6dc55a3fe4c8.jpg,"
DavesMarkets,Limes,$0.89,,,,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_42bb0e57-f304-4375-984a-01f3ba6ddb8f.jpg,"
DavesMarkets,White Seedless Grapes,$4.39,/lb,,/lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_28a8dd52-2302-4528-a19e-2d93dc6b2249.jpg,"
DavesMarkets,Red Seedless Grapes Bunch,$4.39,/lb,,/lb,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_72e63be6-78e1-4a34-a2bd-e504df80c6b9.jpg,"
DavesMarkets,Strawberries,$4.39,,,16 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_352ecf81-962e-4886-8c06-db9151b50d59.jpg,"
DavesMarkets,Organic Bananas,$0.37,each (est.),$0.99 / lb,About 0.37 lb each,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7418ae1d-6990-4e22-9f8e-2b7a18fd0013.jpg,"
DavesMarkets,Original price: $6.59,$4.39,,,"Original price: $6.59
$6.59",[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_25d2dd77-6056-4b20-b472-0856d70a2ecb.jpg,"
DavesMarkets,Cotton Candy Grapes,$5.49,/lb,,/lb,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b246a46c-bce8-4a98-b367-60aefe3fd7b0.jpg,"
