Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
FreshThymeMarket,Banana,$0.37,each (est.),$0.79 / lb,About 0.47 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_eea6ea6f-74a2-4eab-9cb8-1bc9e2efb961.png,"
FreshThymeMarket,Hass Avocado,$1.09,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0251fd1d-37f3-47db-8e50-f3a2f4e0984e.png,"
FreshThymeMarket,Organic Bananas,$0.34,each (est.),$0.99 / lb,About 0.35 lb each,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_716c0099-a1fb-4cbf-8af2-860a81f52b5e.png,"
FreshThymeMarket,Original price: $4.29,$3.29,,,1 lb Container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9f7d40d7-d914-4b87-804c-3c9e2ccada0f.png,"
FreshThymeMarket,Lemon,$1.09,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_32d76aa6-6676-470d-81ee-24a2e73550c5.png,"
FreshThymeMarket,Blueberries Package,$4.29,,,1 pint container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3cdb545f-d353-41c9-a3a6-4d5278865224.png,"
FreshThymeMarket,Clementine Tangerines Bag,$4.29,,,2 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_048bdbf7-33c1-4ee2-9469-268168d5bc98.png,"
FreshThymeMarket,Limes,$0.59,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2e7f6427-9d64-4594-a422-e2282f1b0cc3.png,"
FreshThymeMarket,Organic Hass Avocado,$2.19,,,1 each,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_670150b6-7c97-4d17-8b68-e929fddcd167.png,"
FreshThymeMarket,Honeycrisp Apple,$0.98,each (est.),$2.19 / lb,About 0.45 lb each,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b11a95cd-6c86-46bd-8d0e-de0b6e6e91df.png,"
FreshThymeMarket,Original price: $4.29,$3.29,,,6 oz Container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_0484cff0-827d-4da2-bd47-7887aae666ba.png,"
FreshThymeMarket,Organic Blueberries Package,$5.39,,,6 oz Container,"['Organic', 'Non-GMO']",,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_701b2e31-5927-4522-9353-1ad8f12cdd2c.png,"
FreshThymeMarket,Lemon,$4.29,,,2 lb bag,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e576a716-ebd9-4d84-91a1-1034ae7b6356.png,"
FreshThymeMarket,Organic Lemon,$1.09,,,1 ct,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4923abac-01ce-4bf4-8de6-e2cb30478bcf.png,"
FreshThymeMarket,Original price: $2.69,$1.69,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5311af99-b199-415d-9f54-13701df3c112.png,"
FreshThymeMarket,Original price: $4.29,$3.29,,,6 oz container,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ec401b48-ca48-4bf4-a969-241c6a68d921.png,"
FreshThymeMarket,Organic Blackberries,$5.39,,,6 oz container,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ff6b3b65-c53d-4f9e-b0fa-15c0be5150ca.png,"
FreshThymeMarket,Organic Raspberries Package,$5.39,,,6 oz Package,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_46b5fd1a-a475-4fc9-932a-1db80fd4c5cf.png,"
FreshThymeMarket,Original price: $9.65,$7.40,/pkg (est.),$3.29 / lb,About 2.25 lb / package,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_403632e9-ba28-4000-ae68-f66aa02e8e1e.png,"
FreshThymeMarket,Organic Blueberries Package,$5.39,,,1 pint container,"['Organic', 'Non-GMO']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c11083dc-a7b5-4c0b-a1ee-86b01f50b736.png,"
FreshThymeMarket,Red Mango,$2.19,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_3a7bffa9-952a-421e-8dad-0ce3b7089e9a.png,"
FreshThymeMarket,Organic Honeycrisp Apple,$6.49,,,2 lb bag,"['Non-GMO', 'Organic']",Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_512d49b8-f906-46d6-a710-b19950995900.png,"
FreshThymeMarket,Fresh Thyme Market Pineapple Chunks,$6.49,,,20 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c48af219-5b19-4547-8025-9777e6041d1f.png,"
