Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
GiantEagle,Clementine Bag,$5.59,,,1 ct,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cea6a943-191e-4e02-af3c-bae9f3cade39.png,"
GiantEagle,Giant Eagle Lemon,$0.99,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4189d128-4f1f-4d5e-ae11-a85610bf49b4.png,"
GiantEagle,Red Seedless Grapes Package,$7.98,/pkg (est.),$3.99 / lb,About 2.0 lb / package,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_596530f3-b1c0-4807-9de8-fadcc0001733.png,"
GiantEagle,Wish Farms Blueberries,$9.99,,,18 oz,['Organic'],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ea05d313-955e-41a9-b1e1-5e4fe9750762.jpg,"
GiantEagle,Farmer's Market Watermelon,$5.99,,,16 oz,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_38a31ada-0b77-404c-b366-6be8ee34ebc8.png,"
GiantEagle,Golden Pineapple,$3.99,,,1 each,[],Many in stock,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7b73e401-2d10-4caf-83af-046995af38d7.png,"
GiantEagle,Market District Greenhouse Grown Strawberries,$6.69,,,12 oz,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9ce1498e-6365-4141-ab50-ba450b6fc6f7.png,"
GiantEagle,Calavo Hass Avocados Bag,$5.59,,,4 count bag,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_68815b79-4ecd-4980-b2ce-6121cdbfb1e6.png,"
GiantEagle,Giant Eagle Green Seedless Grapes,$8.98,/pkg (est.),$4.49 / lb,About 2.0 lb / package,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_52a20ad4-4690-466b-a891-cf165d55c6e8.png,"
GiantEagle,Blueberries,$7.99,,,18 oz container,[],,"https://www.instacart.com/image-server/197x197/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_da198072-d684-484d-aad4-6321a554dc22.png,"
