Store,Item Name,Price,Units,Unit Price,Amount,Tags,In Stock,Image
Walgreens,"HARIBO Gummi Candy, Share Size",$2.79 ,,,5 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_057b1ac0-eb2b-4259-bafe-094beb170e29.jpg,"
Walgreens,Hostess Powdered DONETTES Bag Powdered Sugar Mini Donuts,$4.79 ,,,10.5 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d5ec7adc-4313-400d-94b5-6d2a99da1cb0.jpg,"
Walgreens,"Chester's Fries Corn & Potato Snacks, Flamin' Hot Flavored",$2.49 ,,,3.63 oz,['Gluten-Free'],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_27b9c8fb-297a-47d9-84a1-ba2b7656a42c.png,"
Walgreens,KIND Caramel Almond & Sea Salt,$12.49 ,,,6 x 8 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_39ac3ce5-2953-4c82-8243-237a740043f7.jpg,"
Walgreens,Gushers Tropical and Strawberry Fruit Flavored Snacks,$4.99 ,,,4.8 oz,['Gluten-Free'],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8dfe7f0a-8d5f-4b00-8441-45393ea51c0e.png,"
Walgreens,Flipz Milk Chocolate Covered Pretzels,$4.99 ,,,7.5 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a544c399-306f-4f53-bee0-174b195d8159.jpg,"
Walgreens,Angie's BOOMCHICKAPOP Sweet & Salty Kettle Corn Popcorn,$4.49 ,,,7 oz,"['Gluten-Free', 'Vegan']",,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_a68e2cff-ade6-4467-9851-ecbf8d7fb941.jpg,"
Walgreens,"Jack Link's Meat Sticks, Beef & Mild Cheddar",$1.99 ,,,1.5 oz,[],Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_58b7771a-2619-4c50-8bbb-207dddfc65ba.jpg,"
Walgreens,Slim Jim Mild Smoked Snack Sticks,$4.79 ,,,3.92 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8aa19e99-c036-468f-b90d-c9c00fd27aa1.jpg,"
Walgreens,"Sun Chips Flavored Whole Grain Snacks, Harvest Cheddar",$4.49 ,,,7 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_8234d27e-8354-4737-ab06-6850a702e45a.png,"
Walgreens,"Cheez-It Cheese Crackers, Baked Snack Crackers, Lunch Snacks, Original",$4.29 ,,,7 oz,[],,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_607ef658-a154-47a4-a350-b136ffc83bdf.jpg,"
Walgreens,Popcornopolis Nearly Naked Perfectly Salted Popcorn Bag,$3.99 ,,,4.5 oz,"['Gluten-Free', 'Vegan']",Many in stock,"https://www.instacart.com/image-server/257x257/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_56c66d71-c6e0-4927-9eaf-45e6a12c6753.jpg,"
